trial_id,game_id,rt,trial_num,slider_num_agents,slider_recipe,trial_stim,true_num_agents,true_recipe,slider_min_agents,slider_max_agents,slider_min_recipe,slider_max_recipe
ffa4b18c-7264-46b4-9749-17aaf8954c5e,7410-b1d4c768-f1a9-4a4c-a007-887199f28b28,14986.20000000298,2.0,0,0,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
d10b4493-3052-4c9b-8268-9181dfab7383,7410-b1d4c768-f1a9-4a4c-a007-887199f28b28,52499.79999999702,3.0,100,51,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
cc8e4919-dcac-40c3-906a-b048bf01f8be,7410-b1d4c768-f1a9-4a4c-a007-887199f28b28,16942.80000001192,4.0,0,51,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
5425ca37-66ac-4524-b44e-43033f77c164,7410-b1d4c768-f1a9-4a4c-a007-887199f28b28,31116.29999999702,5.0,100,0,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
ea32387e-457e-4295-a370-77743d2fb5a9,7410-b1d4c768-f1a9-4a4c-a007-887199f28b28,28361.60000000894,6.0,100,0,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
6be9fd39-2078-471e-8937-5e33dc245919,7410-b1d4c768-f1a9-4a4c-a007-887199f28b28,22817.5,7.0,100,100,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
83395dcd-e48f-4cdc-bfe1-468da8ebb677,7410-b1d4c768-f1a9-4a4c-a007-887199f28b28,41559.5,8.0,100,100,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
a34e4020-554e-4088-893c-796661bf9c87,8994-12c4bd31-3653-462c-9e62-28a2e6674fa5,53726.00000000003,0.0,33,50,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
cc83d093-3ef7-49a5-bf73-394db93b9bf4,8994-12c4bd31-3653-462c-9e62-28a2e6674fa5,44785.0,1.0,50,32,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
dc3a60ba-5e79-4890-bbb2-f6c9966fc210,8994-12c4bd31-3653-462c-9e62-28a2e6674fa5,12750.0,2.0,74,35,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
333d4180-63df-4b83-b91e-3ac9b9a9e310,8994-12c4bd31-3653-462c-9e62-28a2e6674fa5,10333.0,3.0,61,62,1agent-onion,1agent,onion,1agent,2agent,tomato,onion
fadda0b4-a450-4cc5-b9d2-9de3ec190929,8994-12c4bd31-3653-462c-9e62-28a2e6674fa5,8013.0,4.0,69,36,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
df000c5d-d534-4d98-bfde-2f157adc2209,8994-12c4bd31-3653-462c-9e62-28a2e6674fa5,25350.0,5.0,69,51,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
4a1ee9ef-f555-4185-96c8-73b8d6c042e0,8994-12c4bd31-3653-462c-9e62-28a2e6674fa5,23255.0,6.0,50,50,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
e6f4596b-988f-45b4-ac57-e64d4d0d7066,8994-12c4bd31-3653-462c-9e62-28a2e6674fa5,20793.00000000006,7.0,70,79,2agent-either_recipe,2agent,either_recipe,1agent,2agent,tomato,onion
146c6af5-e26a-4b64-bc7b-80980e50b581,8994-12c4bd31-3653-462c-9e62-28a2e6674fa5,14612.0,8.0,64,50,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
